"","","P","W","D","L","F","A","+/-","Pts"
"1","Manchester City","19","14","3","2","40","15","+25","45"
"2","Manchester United","19","12","7","0","35","16","+19","43"
"3","Leicester City","19","11","5","3","34","20","+14","38"
"4","Everton","19","11","4","4","23","20","+3","37"
"5","Liverpool","19","10","6","3","39","22","+17","36"
"6","Chelsea","19","10","4","5","27","18","+9","34"
"7","Arsenal","19","10","3","6","31","18","+13","33"
"8","West Ham United","19","9","4","6","30","25","+5","31"
"9","Aston Villa","19","9","3","7","26","19","+7","30"
"10","Leeds United","19","10","0","9","34","33","+1","30"
"11","Tottenham Hotspur","19","8","5","6","33","25","+8","29"
"12","Newcastle United","19","6","4","9","20","29","-9","22"
"13","Burnley","19","6","3","10","19","28","-9","21"
"14","Crystal Palace","19","6","3","10","21","34","-13","21"
"15","Brighton & Hove Albion","19","5","5","9","18","24","-6","20"
"16","Wolverhampton Wanderers","19","5","5","9","15","27","-12","20"
"17","Fulham","19","3","9","7","18","25","-7","18"
"18","Southampton","19","4","4","11","19","43","-24","16"
"19","West Bromwich Albion","19","2","5","12","20","37","-17","11"
"20","Sheffield United","19","2","1","16","8","36","-28","7"
