"","","P","W","D","L","F","A","+/-","Pts"
"1","Arsenal","10","9","1","0","26","5","+21","28"
"2","Manchester City","9","8","0","1","25","6","+19","24"
"3","Aston Villa","9","7","1","1","15","7","+8","22"
"4","Brentford","10","6","3","1","20","10","+10","21"
"5","Sunderland","10","5","5","0","16","8","+8","20"
"6","Liverpool","10","6","2","2","15","10","+5","20"
"7","Manchester United","10","5","3","2","18","13","+5","18"
"8","Newcastle United","9","5","2","2","16","12","+4","17"
"9","Brighton & Hove Albion","9","4","4","1","16","11","+5","16"
"10","Fulham","9","5","1","3","15","10","+5","16"
"11","AFC Bournemouth","9","4","4","1","11","6","+5","16"
"12","Leeds United","9","4","3","2","17","12","+5","15"
"13","Chelsea","10","4","3","3","15","11","+4","15"
"14","Everton","9","4","2","3","11","10","+1","14"
"15","Crystal Palace","10","2","5","3","10","12","-2","11"
"16","Nottingham Forest","10","3","1","6","12","17","-5","10"
"17","Tottenham Hotspur","9","2","2","5","11","11","0","8"
"18","Burnley","10","2","2","6","8","13","-5","8"
"19","West Ham United","10","2","1","7","12","23","-11","7"
"20","Wolverhampton Wanderers","9","0","1","8","7","23","-16","1"
